Product Name,Category,Sub-Category,Total_Orders,Total_Returns,Avg_Risk_Score,Risk_Level
"""While you Were Out"" Message Book, One Form per Page",Office Supplies,Paper,3,0,0.04722012,Low
"#10 Gummed Flap White Envelopes, 100/Box",Office Supplies,Envelopes,4,1,0.048959644,Low
#10 Self-Seal White Envelopes,Office Supplies,Envelopes,4,0,0.045459795,Low
"#10 White Business Envelopes,4 1/8 x 9 1/2",Office Supplies,Envelopes,7,0,0.044065133,Low
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Office Supplies,Envelopes,10,0,0.046729645,Low
"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Office Supplies,Envelopes,8,0,0.047021631,Low
"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Office Supplies,Envelopes,2,0,0.041173543,Low
#6 3/4 Gummed Flap White Envelopes,Office Supplies,Envelopes,4,0,0.049894094,Low
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Office Supplies,Appliances,6,0,0.039514671,Low
"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack",Office Supplies,Paper,2,0,0.038848065,Low
12 Colored Short Pencils,Office Supplies,Art,3,0,0.051760187,Low
12-1/2 Diameter Round Wall Clock,Furniture,Furnishings,8,0,0.050576548,Low
14-7/8 x 11 Blue Bar Computer Printout Paper,Office Supplies,Paper,4,2,0.044479049,Low
2300 Heavy-Duty Transfer File Systems by Perma,Office Supplies,Storage,4,0,0.046421426,Low
"24 Capacity Maxi Data Binder Racks, Pearl",Office Supplies,Storage,4,0,0.042961452,Low
24-Hour Round Wall Clock,Furniture,Furnishings,6,0,0.049150196,Low
3.6 Cubic Foot Counter Height Office Refrigerator,Office Supplies,Appliances,5,0,0.042052448,Low
36X48 HARDFLOOR CHAIRMAT,Furniture,Furnishings,6,0,0.049365556,Low
"3D Systems Cube Printer, 2nd Generation, Magenta",Technology,Machines,2,0,0.040485831,Low
"3D Systems Cube Printer, 2nd Generation, White",Technology,Machines,2,0,0.046572195,Low
3M Hangers With Command Adhesive,Furniture,Furnishings,8,1,0.050893131,Low
3M Office Air Cleaner,Office Supplies,Appliances,2,0,0.041704203,Low
3M Organizer Strips,Office Supplies,Binders,7,0,0.049124153,Low
3M Polarizing Light Filter Sleeves,Furniture,Furnishings,4,0,0.051818246,Low
"3M Polarizing Task Lamp with Clamp Arm, Light Gray",Furniture,Furnishings,4,0,0.048953318,Low
3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,Office Supplies,Appliances,4,0,0.042851613,Low
4009 Highlighters,Office Supplies,Art,1,0,0.054168125,Low
4009 Highlighters by Sanford,Office Supplies,Art,8,0,0.05017619,Low
50 Colored Long Pencils,Office Supplies,Art,5,0,0.050722512,Low
"6"" Cubicle Wall Clock, Black",Furniture,Furnishings,4,0,0.053605832,Low
9-3/4 Diameter Round Wall Clock,Furniture,Furnishings,8,1,0.049064598,Low
"ACCOHIDE 3-Ring Binder, Blue, 1""",Office Supplies,Binders,13,2,0.046852938,Low
ACCOHIDE Binder by Acco,Office Supplies,Binders,4,0,0.051082002,Low
APC 7 Outlet Network SurgeArrest Surge Protector,Office Supplies,Appliances,8,0,0.038650485,Low
ARKON Windshield Dashboard Air Vent Car Mount Holder,Technology,Phones,4,0,0.051159897,Low
AT&T 1070 Corded Phone,Technology,Phones,3,1,0.054902436,Low
AT&T 1080 Corded phone,Technology,Phones,7,0,0.05213742,Low
AT&T 1080 Phone,Technology,Phones,3,0,0.047208912,Low
AT&T 17929 Lendline Telephone,Technology,Phones,10,1,0.05167808,Low
AT&T 841000 Phone,Technology,Phones,7,0,0.050287247,Low
AT&T CL2909,Technology,Phones,3,1,0.054184176,Low
AT&T CL82213,Technology,Phones,5,1,0.048253073,Low
AT&T CL83451 4-Handset Telephone,Technology,Phones,4,0,0.053263416,Low
AT&T EL51110 DECT,Technology,Phones,1,0,0.054490105,Low
AT&T SB67148 SynJ,Technology,Phones,3,0,0.052917851,Low
AT&T TR1909W,Technology,Phones,4,0,0.045034442,Low
Aastra 57i VoIP phone,Technology,Phones,7,0,0.051389222,Low
Aastra 6757i CT Wireless VoIP phone,Technology,Phones,6,0,0.051652787,Low
Acco 3-Hole Punch,Office Supplies,Binders,9,2,0.045310185,Low
"Acco 3-Hole Punch, Clear",Office Supplies,Binders,37,0,0.042325225,Low
"Acco 3-Hole Punch, Durable",Office Supplies,Binders,41,1,0.042287924,Low
"Acco 3-Hole Punch, Economy",Office Supplies,Binders,44,2,0.04130651,Low
"Acco 3-Hole Punch, Recycled",Office Supplies,Binders,31,2,0.042397424,Low
Acco 6 Outlet Guardian Basic Surge Suppressor,Office Supplies,Appliances,2,0,0.039012829,Low
Acco 6 Outlet Guardian Premium Plus Surge Suppressor,Office Supplies,Appliances,6,0,0.039504724,Low
Acco 6 Outlet Guardian Premium Surge Suppressor,Office Supplies,Appliances,8,0,0.038106897,Low
Acco 6 Outlet Guardian Standard Surge Suppressor,Office Supplies,Appliances,5,0,0.039263024,Low
"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",Office Supplies,Appliances,7,0,0.037999907,Low
"Acco Banker's Clasps, 5 3/4""-Long",Office Supplies,Fasteners,5,0,0.036708563,Low
"Acco Binder Covers, Clear",Office Supplies,Binders,42,3,0.043763186,Low
"Acco Binder Covers, Durable",Office Supplies,Binders,31,3,0.042749853,Low
"Acco Binder Covers, Economy",Office Supplies,Binders,41,2,0.041189378,Low
"Acco Binder Covers, Recycled",Office Supplies,Binders,48,2,0.040953385,Low
"Acco Binder, Clear",Office Supplies,Binders,45,4,0.040957591,Low
"Acco Binder, Durable",Office Supplies,Binders,41,1,0.04138036,Low
"Acco Binder, Economy",Office Supplies,Binders,45,1,0.041990815,Low
"Acco Binder, Recycled",Office Supplies,Binders,34,1,0.043666917,Low
"Acco Binding Machine, Clear",Office Supplies,Binders,41,3,0.042729401,Low
"Acco Binding Machine, Durable",Office Supplies,Binders,34,1,0.040049019,Low
"Acco Binding Machine, Economy",Office Supplies,Binders,34,3,0.043345426,Low
"Acco Binding Machine, Recycled",Office Supplies,Binders,35,1,0.040484162,Low
"Acco Clips to Go Binder Clips, 24 Clips in Two Sizes",Office Supplies,Fasteners,5,0,0.037811173,Low
Acco D-Ring Binder w/DublLock,Office Supplies,Binders,9,0,0.051470034,Low
"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity",Office Supplies,Binders,10,0,0.046167173,Low
Acco Economy Flexible Poly Round Ring Binder,Office Supplies,Binders,4,0,0.046586161,Low
Acco Expandable Hanging Binders,Office Supplies,Binders,4,0,0.048981077,Low
"Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2"" X 14"" 7/8""",Office Supplies,Binders,10,0,0.049661068,Low
